2022-06-07 15:01:10.518 INFO  [main][ThemeHotDeployListener:108] 1 theme for minium-theme is available for use
2022-06-07 15:01:11.732 INFO  [main][SystemCheckOSGiCommands:59] System check is enabled. You can run a system check with the command "system:check" in Gogo shell.
2022-06-07 15:01:11.734 INFO  [main][SystemCheckOSGiCommands:71] Running system check
2022-06-07 15:01:11.734 INFO  [main][SystemCheckOSGiCommands:98] Available checkers :[Declarative Service Soft Circular Dependency Checker, Declarative Service Unsatisfied Component Checker, Spring Extender Unavailable Component Checker]
2022-06-07 15:01:11.735 INFO  [main][SystemCheckOSGiCommands:114] Running "Declarative Service Soft Circular Dependency Checker". You can run this by itself with command "ds:softCircularDependency" in gogo shell.
2022-06-07 15:01:19.738 INFO  [main][SystemCheckOSGiCommands:126] Declarative Service Soft Circular Dependency Checker check result: No issues were found.
2022-06-07 15:01:19.738 INFO  [main][SystemCheckOSGiCommands:114] Running "Declarative Service Unsatisfied Component Checker". You can run this by itself with command "ds:unsatisfied" in gogo shell.
2022-06-07 15:01:53.900 INFO  [main][SystemCheckOSGiCommands:126] Declarative Service Unsatisfied Component Checker check result: No issues were found.
2022-06-07 15:01:53.901 INFO  [main][SystemCheckOSGiCommands:114] Running "Spring Extender Unavailable Component Checker". You can run this by itself with command "dm na" in gogo shell.
2022-06-07 15:01:53.905 INFO  [main][SystemCheckOSGiCommands:126] Spring Extender Unavailable Component Checker check result: No issues were found.
2022-06-07 15:13:12.226 INFO  [Thread-9][ThemeHotDeployListener:171] 1 theme for minium-theme was unregistered
2022-06-07 15:13:12.256 INFO  [Thread-9][ThemeHotDeployListener:171] 1 theme for classic-theme was unregistered
2022-06-07 15:13:12.282 INFO  [Thread-9][ThemeHotDeployListener:171] 1 theme for admin-theme was unregistered
2022-06-07 15:13:12.299 INFO  [Thread-9][ThemeHotDeployListener:171] 1 theme for speedwell-theme was unregistered
2022-06-07 15:18:39.004 INFO  [main][PortalContextLoaderListener:139] JVM arguments: -Dcatalina.base=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43 -Dcatalina.home=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43 -Dfile.encoding=UTF8 -Djava.io.tmpdir=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43\temp -Djava.net.preferIPv4Stack=true -Djava.util.logging.config.file=C:\liferay\liferay-ce-portal-7.3.7-ga8\tomcat-9.0.43\conf\logging.properties -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dorg.apache.catalina.loader.WebappClassLoader.ENABLE_CLEAR_REFERENCES=false -Duser.timezone=GMT -Xmx2560m -javaagent:C:\Programske datoteke\JetBrains\IntelliJ IDEA 2021.3.2\lib\idea_rt.jar=57637:C:\Programske datoteke\JetBrains\IntelliJ IDEA 2021.3.2\bin
2022-06-07 15:18:45.610 WARN  [main][DialectDetector:99] Liferay is configured to use Hypersonic as its database. Do NOT use Hypersonic in production. Hypersonic is an embedded database useful for development and demonstration purposes. The database settings can be changed in portal-ext.properties.
2022-06-07 15:18:45.613 INFO  [main][DialectDetector:159] Using dialect com.liferay.portal.dao.orm.hibernate.HSQLDialect for HSQL Database Engine 2.3
2022-06-07 15:18:55.495 INFO  [main][ModuleFrameworkImpl:1602] Starting initial bundles
2022-06-07 15:19:00.755 INFO  [main][ModuleFrameworkImpl:1896] Started initial bundles
2022-06-07 15:19:00.765 INFO  [main][ModuleFrameworkImpl:1949] Starting dynamic bundles
2022-06-07 15:19:32.353 INFO  [main][ModuleFrameworkImpl:1971] Started dynamic bundles
2022-06-07 15:19:32.354 INFO  [main][ModuleFrameworkImpl:1978] Starting web bundles
2022-06-07 15:19:44.644 INFO  [main][ModuleFrameworkImpl:2032] Started web bundles
